P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
WASP-113 b,150.9683,4.5421688,0.05885,360,1.32,1.61,5890,0.05885,807.06524,1357.9134,2.7951272,0,0,0,0.058971507
WASP-114 b,562.23774,1.5487743,0.02851,460,1.29,1.43,5940,0.028512053,2806.3597,1854.253,2.2809013,0,0,0,0.060760985
WASP-117 b,95.348401,10.02165,,158.69,1.29,1.22,6040,0.10346225,189.80346,929.17458,1.7748271,0,0,0,0.08001318
WASP-118 b,163.36359,4.0460435,0.05453,380.53,1.32,1.7,6410,0.05453,1470.1025,1577.5452,4.3713805,0,0,0,0.057250028
WASP-119 b,390.92844,2.49979,0.0363,333,1.02,1.2,5650,0.036361057,999.45534,1431.5662,1.3147553,0,0,0,0.059055901
WASP-12 b,465.61802,1.09142,0.0232,432.48,1.43,1.66,6360,0.0232,7505.1144,2371.2876,4.0395528,0,0,0,0.04315213
WASP-120 b,1541.4658,3.6112706,0.0514,437,1.39,1.87,6450,0.051483499,2055.8487,1714.4615,5.4226393,0,0,0,0.055889703
WASP-121 b,375.99053,1.2749255,0.02544,270,1.35,1.46,6459,0.02544,5135.9559,2156.7521,3.3239578,0,0,0,0.044760892
WASP-123 b,285.72737,2.9776412,0.04263,214,1.17,1.28,5740,0.04263,876.85037,1386.3608,1.593515,0,0,0,0.062462377
WASP-124 b,190.6968,3.37265,0.0449,433,1.07,1.02,6050,0.044906488,619.55601,1270.9882,1.2488506,0,0,0,0.066423124
WASP-126 b,88.991841,3.2888,0.0449,234,1.12,1.27,5800,0.04562738,824.6458,1356.865,1.63534,0,0,0,0.082398071
WASP-127 b,57.209041,4.178062,0.052,102,1.08,1.39,5620,0.052,638.64104,1280.7345,1.7268854,0,0,0,0.060805619
WASP-129 b,317.828,5.748145,0.0628,246,1,0.9,5900,0.063089382,224.01285,983.91991,0.87939038,0,0,0,0.088176413
WASP-13 b,114.41808,4.35301,,228.99,0.72,1.37,5950,0.046753432,964.20784,1419.6706,2.1076459,0,0,0,0.066758117
WASP-130 b,390.92844,11.55098,0.1012,180,1.04,0.96,5625,0.1012,80.716105,763.63348,0.82664914,0,0,0,0.099876526
WASP-131 b,85.813561,5.322023,0.0607,250,1.06,1.53,6030,0.0607,752.59855,1334.3991,2.7729418,0,0,0,0.067069163
WASP-132 b,130.30948,7.133521,0.067,120,0.8,0.74,4775,0.067,56.819314,699.4697,0.2550619,0,0,0,0.10708014
WASP-133 b,368.68048,2.176423,0.0345,547,1.16,1.44,5700,0.034998525,1672.0255,1620.2165,1.9611601,0,0,0,0.066774296
WASP-135 b,603.87321,1.4013794,0.0243,300,0.98,0.96,5675,0.0243,1450.3808,1572.2276,0.85643533,0,0,0,0.062747465
WASP-136 b,479.92028,5.215357,0.0661,164,1.41,2.21,6260,0.0661,1538.0399,1595.4633,6.7200194,0,0,0,0.059446931
WASP-138 b,387.75016,3.634433,0.0494,308,1.22,1.36,6272,0.0494,1050.8404,1450.538,2.5644289,0,0,0,0.073583543
WASP-139 b,37.185876,5.924262,0.062,230,0.92,0.8,5310,0.062,118.59417,840.73812,0.45587597,0,0,0,0.10395137
WASP-14 b,2809.5995,2.24375,,162.75,1.62,1.4,6475,0.039544511,1998.0582,1700.7289,3.0867667,0,0,0,0.059288157
WASP-140 b,775.50033,2.2359835,0.0323,180,0.9,0.87,5260,0.032335675,498.13298,1203.0985,0.51912283,0,0,0,0.058651398
WASP-141 b,854.95733,3.310651,0.0469,570,1.25,1.37,5900,0.0469,926.38634,1405.5391,2.0376887,0,0,0,0.067288541
WASP-142 b,266.97552,2.052868,0.0347,840,1.33,1.64,6010,0.0347,2611.0506,1821.1626,3.1439399,0,0,0,0.053892186
WASP-144 b,139.84432,2.2783152,0.0316,358.72,0.81,0.81,5200,0.0316,430.4254,1160.4312,0.42980559,0,0,0,0.092554767
WASP-145 A b,282.86692,1.7690381,0.0261,91.54,0.76,0.68,4900,0.0261,350.59828,1102.4207,0.23883105,0,0,0,0.088828449
WASP-147 b,87.402701,4.60273,0.0549,426,1.04,1.43,5702,0.0549,642.57657,1282.7031,1.9367322,0,0,0,0.07279182
WASP-15 b,171.62712,3.7521,,284.35,1.18,1.48,6300,0.049925201,1240.3225,1511.9191,3.0915358,0,0,0,0.058476395
WASP-151 b,98.526681,4.533471,0.055,458.91,1.08,1.14,5871,0.055000247,457.32321,1178.1483,1.3833965,0,0,0,0.072628447
WASP-153 b,123.95292,3.332609,0.048,430,1.34,1.73,5914,0.048001944,1423.7746,1564.9433,3.2802439,0,0,0,0.053596395
WASP-156 b,40.681984,3.836169,0.0453,140,0.84,0.76,4910,0.04530111,146.57369,886.45135,0.30077504,0,0,0,0.14377659
WASP-157 b,,3.951623,0.0499,337.71,1.06,1.1,5772,0.0499,483.25707,1194.5091,1.2033149,0,0,0,0.080629768
WASP-158 b,886.74013,3.656333,0.0517,532.92,1.38,1.39,6350,0.0517,1053.0089,1451.2857,2.8145771,0,0,0,0.074776066
WASP-159 b,174.8054,3.840401,0.0538,730.5,1.41,2.11,6120,0.0538,1933.2797,1689.3459,5.5957621,0,0,0,0.059305948
WASP-16 b,394.10672,3.1186,,195.2,1.78,1.14,5700,0.050616176,479.75455,1192.3388,1.2291299,0,0,0,0.067873997
WASP-160 B b,88.356185,3.7684952,0.0452,284,0.87,0.87,5298,0.0452,261.5159,1024.5176,0.53428744,0,0,0,0.076659593
WASP-161 b,791.39173,5.4060425,0.0673,346.46,1.39,1.71,6400,0.0673,970.44435,1421.9606,4.3954239,0,0,0,0.070680535
WASP-162 b,1652.7056,9.62468,0.0871,313.6,0.95,1.11,5300,0.095302904,127.44388,823.66926,0.87103997,0,0,0,0.086673508
WASP-163 b,594.33837,1.6096884,0.0266,263.29,0.97,1.01,5500,0.0266,1182.0038,1493.8247,0.83633862,0,0,0,0.067432506
WASP-164 b,676.97365,1.7771255,0.02818,322,0.95,0.93,5806,0.02818,1108.8701,1470.1616,0.88056753,0,0,0,0.071363047
WASP-165 b,209.13083,3.465509,0.04823,583,1.25,1.75,5599,0.04823,1159.2366,1486.5788,2.6965384,0,0,0,0.064700154
WASP-166 b,32.100628,5.44354,0.0641,113,1.19,1.22,6050,0.0641,434.82424,1163.3847,1.7866102,0,0,0,0.11788763
WASP-167 b,2542.624,2.0219596,0.0365,381,1.59,1.79,7000,0.0365,5173.6988,2160.7036,6.8926602,0,0,0,0.052138585
